Date,Open,High,Low,Close,Volume
2017-01-23 14-10,120.08,120.08,120.08,120.08,15221
2017-01-23 14-11,120.08,120.08,120.08,120.08,19034
2017-01-23 14-12,120.05,120.05,120.05,120.05,47794
2017-01-23 14-13,120.06,120.06,120.06,120.06,22453
2017-01-23 14-14,120.02,120.02,120.02,120.02,23942
2017-01-23 14-15,120.02,120.02,120.02,120.02,27534
2017-01-23 14-16,120.04,120.04,120.04,120.04,18893
2017-01-23 14-17,120.03,120.03,120.03,120.03,11729
2017-01-23 14-18,119.99,119.99,119.99,119.99,53091
2017-01-23 14-19,120,120,120,120,9184
2017-01-23 14-20,120.01,120.01,120.01,120.01,33087
2017-01-23 14-21,120.005,120.005,120.005,120.005,22978
2017-01-23 14-22,119.9858,119.9858,119.9858,119.9858,29734
2017-01-23 14-23,119.97,119.97,119.97,119.97,20681
2017-01-23 14-24,119.99,119.99,119.99,119.99,44863
2017-01-23 14-25,119.9737,119.9737,119.9737,119.9737,23570
2017-01-23 14-26,120.01,120.01,120.01,120.01,38516
2017-01-23 14-27,120.01,120.01,120.01,120.01,23137
2017-01-23 14-28,120,120,120,120,42617
2017-01-23 14-29,120.0032,120.0032,120.0032,120.0032,30322
2017-01-23 14-30,120.009,120.009,120.009,120.009,29076
2017-01-23 14-31,120.0063,120.0063,120.0063,120.0063,20707
2017-01-23 14-32,120.03,120.03,120.03,120.03,26292
2017-01-23 14-33,120.005,120.005,120.005,120.005,18332
2017-01-23 14-34,120.02,120.02,120.02,120.02,17687
2017-01-23 14-35,120.01,120.01,120.01,120.01,14522
2017-01-23 14-36,120.0043,120.0043,120.0043,120.0043,16966
2017-01-23 14-37,119.995,119.995,119.995,119.995,37236
2017-01-23 14-38,120.01,120.01,120.01,120.01,13712
2017-01-23 14-39,120.02,120.02,120.02,120.02,22032
2017-01-23 14-40,120.019,120.019,120.019,120.019,17018
2017-01-23 14-41,120,120,120,120,14941
2017-01-23 14-42,119.99,119.99,119.99,119.99,38249
2017-01-23 14-43,120,120,120,120,40547
2017-01-23 14-44,120.0241,120.0241,120.0241,120.0241,13761
2017-01-23 14-45,120.0484,120.0484,120.0484,120.0484,37494
2017-01-23 14-46,120.0892,120.0892,120.0892,120.0892,83842
2017-01-23 14-47,120.0881,120.0881,120.0881,120.0881,29265
2017-01-23 14-48,120.03,120.03,120.03,120.03,41655
2017-01-23 14-49,120.0142,120.0142,120.0142,120.0142,30635
2017-01-23 14-50,120.0043,120.0043,120.0043,120.0043,32218
2017-01-23 14-51,120.02,120.02,120.02,120.02,27628
2017-01-23 14-52,120,120,120,120,12286
2017-01-23 14-53,120.01,120.01,120.01,120.01,22834
2017-01-23 14-54,120.01,120.01,120.01,120.01,25147
2017-01-23 14-55,120.045,120.045,120.045,120.045,34689
2017-01-23 14-56,120.075,120.075,120.075,120.075,87129
2017-01-23 14-57,120.055,120.055,120.055,120.055,20311
2017-01-23 14-58,120.075,120.075,120.075,120.075,17359
2017-01-23 14-59,120.035,120.035,120.035,120.035,28323
2017-01-23 15-00,120.051,120.051,120.051,120.051,29767
2017-01-23 15-01,120.021,120.021,120.021,120.021,17729
2017-01-23 15-02,120.03,120.03,120.03,120.03,25518
2017-01-23 15-03,120.01,120.01,120.01,120.01,24721
2017-01-23 15-04,120.04,120.04,120.04,120.04,23840
